head,val_nll,best_epoch,epochs_run,n_train,n_val
log_lx,0.1642,7,27,19353,2418
logmstar,0.2267,13,33,19351,2418
log_sfr,0.3166,13,33,12915,1668
logmstar_cigale,0.4600,18,38,14500,1847
log_flux_p2,0.9271,9,29,15847,1989
log_flux_p1,0.9488,9,29,10639,1342
log_ml_flux_1,0.9507,5,25,19353,2418
log_flux_p3,0.9656,5,25,15335,1920
joint_refit,1.1174,16,36,12915,1668
log_flux_p4,1.1642,6,26,2802,353
log_mbh_vo09,1.1750,9,29,7257,900
log_mbh_pan25,1.2614,18,38,7263,901
p2xp3_refit,1.7163,5,25,12914,1609
