targetid,ra,dec,split
146566002245633,150.643,1.836,train
146584104861696,149.704,2.578,val
234520892669963,150.5319903425531,1.426720381764665,test
238937062768789,150.8094662795782,2.219350964747647,train
243347176292433,150.1190753124781,2.854560908284903,train
1070078422417412,220.4649573657674,-1.388311419902517,train
1070205199450112,218.1701564899393,3.768840745465184,train
2323623855521792,190.707,2.68762,train
2323666519982080,216.620254,4.450265,train
2323696089825280,184.8459,5.82504,test
2323696089825281,184.84675,5.82522222222,train
2349915619459072,197.8729,-1.3411,train
2349927111852032,162.9644,-0.8549,val
2349938939789312,147.9171,-0.239,train
2349957730271233,187.7813,0.3908,train
2349970267045894,215.0693,0.9553,train
2389447454752769,62.35879957729281,-3.169586155873428,test
2389618100011008,155.2618944810988,3.768854574025893,train
2389642942873602,198.9118163077218,4.770952332889673,train
2389660277932033,155.2061014777621,5.423504238204482,train
2402752592347138,198.8390566412554,1.312141731970144,train
2714831966699521,142.9270965280197,-6.199788038812883,train
2714838866329606,196.272372257076,-6.099854837715629,train
2780512611467266,66.39512483665041,-18.42323513483607,train
2780535566893057,63.12458183681935,-17.41261514352234,train
2780535587864577,64.4314838957413,-17.42692688531229,train
2780541346643968,63.49197230834609,-17.14974247325119,train
2780552805482499,57.26930715282616,-16.63015262270231,train
2780558576844801,56.13170975063811,-16.56141758688396,train
2780564465647622,61.81306269477481,-16.29632285384464,train
2780575999983621,56.47023111416043,-15.68391543086892,train
2780581662294024,46.5982859857567,-15.41163297441775,train
2780610863038469,45.67962255548596,-14.34944824412038,train
2780611089530886,59.624984113382,-14.14712190056598,train
2780611123085315,61.67464048587529,-14.18530703793967,train
2780611181805574,65.40429292137082,-14.24704292233283,train
2780640105725955,37.81373720792047,-13.07123107827814,val
2780646351044612,59.50270641109845,-12.74995799712479,train
2780663895818243,49.47937628215696,-12.04389598808732,train
2780687786573828,61.37640719956724,-11.09797045001513,test
2780717209616391,42.73572577980598,-9.794363112345382,train
2780717389971461,53.60938394456559,-9.705095902083915,train
2780725229125643,167.2745373127154,-9.461308918122112,train
2780735119294467,44.09168773098963,-8.941609792384703,train
2780737262583820,173.3577949727244,-8.891369736328507,train
2780741364613128,60.657327122607,-8.637832103374544,train
2780747345690625,60.86962577277094,-8.50543420754816,train
2780754962546688,159.3065965402876,-8.231724160407301,train
2780759031021576,44.34352943913694,-7.948890853552784,train
2780761002344460,162.6958837984562,-8.118005712938162,val
2780765301506050,61.11524485460963,-7.820203780879822,train
2780767184748553,174.366949864162,-7.851493035788944,train
2780773526536200,195.1544128481151,-7.570024258025496,train
2780778781999110,150.687012679865,-7.191932881021074,train
2780779146903566,172.6495237201531,-7.136098725756084,train
2780784968597519,162.0417464397188,-6.891043458200873,val
2780785056677897,167.3207223268653,-7.04465110786478,train
2780785408999434,188.4003703082441,-7.080891236796302,val
2780785534828558,195.9919263316557,-7.027436633154671,train
2780790488301596,133.1684778631079,-6.731937502609311,train
2780790786097153,150.8723545093477,-6.709161916029142,train
2780791473963019,192.1140096061454,-6.694156147893938,train
2780791515906055,194.7271288833576,-6.733411334817094,train
