targetid,legacy_brickname_objid,legacy_brickname,legacy_objid,legacy_brickid,legacy_release,targetid_mock,targetid_sky,targetid_gaiadr,ra,dec,split
146566002245633,1506p017-1,1506p017,1,341050,33,0,0,0,150.643,1.836,train
146584104861696,1496p025-0,1496p025,0,345366,33,0,0,0,149.704,2.578,val
234520892669963,1506p015-11,1506p015,11,339610,53,0,0,0,150.5319903425531,1.426720381764665,test
238937062768789,1508p022-149,1508p022,149,343931,54,0,0,0,150.8094662795782,2.219350964747647,train
243347176292433,1501p027-81,1501p027,81,346808,55,0,0,0,150.1190753124781,2.854560908284903,train
1070078422417412,2203m015-4,2203m015,4,322609,243,0,0,0,220.4649573657674,-1.388311419902517,train
1070205199450112,2181p037-0,2181p037,0,352835,243,0,0,0,218.1701564899393,3.768840745465184,train
2323623855521792,1906p027-0,1906p027,0,346970,528,0,0,0,190.707,2.68762,train
2323666519982080,2167p045-0,2167p045,0,357142,528,0,0,0,216.620254,4.450265,train
2323696089825280,1848p057-0,1848p057,0,364192,528,0,0,0,184.8459,5.82504,test
2323696089825281,1848p057-1,1848p057,1,364192,528,0,0,0,184.84675,5.82522222222,train
2349915619459072,1978m012-0,1978m012,0,323959,534,0,0,0,197.8729,-1.3411,train
2349927111852032,1628m007-0,1628m007,0,326699,534,0,0,0,162.9644,-0.8549,val
2349938939789312,1478m002-0,1478m002,0,329519,534,0,0,0,147.9171,-0.239,train
2349957730271233,1878p005-1,1878p005,1,333999,534,0,0,0,187.7813,0.3908,train
2349970267045894,2151p010-6,2151p010,6,336988,534,0,0,0,215.0693,0.9553,train
2389447454752769,0624m032-1,0624m032,1,311899,543,0,0,0,62.35879957729281,-3.169586155873428,test
2389618100011008,1553p037-0,1553p037,0,352584,543,0,0,0,155.2618944810988,3.768854574025893,train
2389642942873602,1989p047-2,1989p047,2,358507,543,0,0,0,198.9118163077218,4.770952332889673,train
2389660277932033,1552p055-1,1552p055,1,362640,543,0,0,0,155.2061014777621,5.423504238204482,train
2402752592347138,1988p012-2,1988p012,2,338363,546,0,0,0,198.8390566412554,1.312141731970144,train
2714831966699521,1429m062-1,1429m062,1,294988,617,0,0,0,142.9270965280197,-6.199788038812883,train
2714838866329606,1961m060-6,1961m060,6,296633,617,0,0,0,196.272372257076,-6.099854837715629,train
2780512611467266,0664m185-2,0664m185,2,225834,632,0,0,0,66.39512483665041,-18.42323513483607,train
2780535566893057,0631m175-1,0631m175,1,231307,632,0,0,0,63.12458183681935,-17.41261514352234,train
2780535587864577,0644m175-1,0644m175,1,231312,632,0,0,0,64.4314838957413,-17.42692688531229,train
2780541346643968,0636m172-0,0636m172,0,232685,632,0,0,0,63.49197230834609,-17.14974247325119,train
2780552805482499,0572m167-3,0572m167,3,235417,632,0,0,0,57.26930715282616,-16.63015262270231,train
2780558576844801,0561m165-1,0561m165,1,236793,632,0,0,0,56.13170975063811,-16.56141758688396,train
2780564465647622,0617m162-6,0617m162,6,238197,632,0,0,0,61.81306269477481,-16.29632285384464,train
2780575999983621,0564m157-5,0564m157,5,240947,632,0,0,0,56.47023111416043,-15.68391543086892,train
2780581662294024,0464m155-8,0464m155,8,242297,632,0,0,0,46.5982859857567,-15.41163297441775,train
2780610863038469,0457m142-5,0457m142,5,249259,632,0,0,0,45.67962255548596,-14.34944824412038,train
2780611089530886,0596m142-6,0596m142,6,249313,632,0,0,0,59.624984113382,-14.14712190056598,train
2780611123085315,0616m142-3,0616m142,3,249321,632,0,0,0,61.67464048587529,-14.18530703793967,train
2780611181805574,0652m142-6,0652m142,6,249335,632,0,0,0,65.40429292137082,-14.24704292233283,train
2780640105725955,0378m130-3,0378m130,3,256231,632,0,0,0,37.81373720792047,-13.07123107827814,val
2780646351044612,0595m127-4,0595m127,4,257720,632,0,0,0,59.50270641109845,-12.74995799712479,train
2780663895818243,0494m120-3,0494m120,3,261903,632,0,0,0,49.47937628215696,-12.04389598808732,train
2780687786573828,0613m110-4,0613m110,4,267599,632,0,0,0,61.37640719956724,-11.09797045001513,test
2780717209616391,0427m097-7,0427m097,7,274614,632,0,0,0,42.73572577980598,-9.794363112345382,train
2780717389971461,0536m097-5,0536m097,5,274657,632,0,0,0,53.60938394456559,-9.705095902083915,train
2780725229125643,1672m095-11,1672m095,11,276526,632,0,0,0,167.2745373127154,-9.461308918122112,train
2780735119294467,0441m090-3,0441m090,3,278884,632,0,0,0,44.09168773098963,-8.941609792384703,train
2780737262583820,1733m090-12,1733m090,12,279395,632,0,0,0,173.3577949727244,-8.891369736328507,train
2780741364613128,0605m087-8,0605m087,8,280373,632,0,0,0,60.657327122607,-8.637832103374544,train
2780747345690625,0609m085-1,0609m085,1,281799,632,0,0,0,60.86962577277094,-8.50543420754816,train
2780754962546688,1594m082-0,1594m082,0,283615,632,0,0,0,159.3065965402876,-8.231724160407301,train
2780759031021576,0442m080-8,0442m080,8,284585,632,0,0,0,44.34352943913694,-7.948890853552784,train
2780761002344460,1627m080-12,1627m080,12,285055,632,0,0,0,162.6958837984562,-8.118005712938162,val
2780765301506050,0611m077-2,0611m077,2,286080,632,0,0,0,61.11524485460963,-7.820203780879822,train
2780767184748553,1743m077-9,1743m077,9,286529,632,0,0,0,174.366949864162,-7.851493035788944,train
2780773526536200,1952m075-8,1952m075,8,288041,632,0,0,0,195.1544128481151,-7.570024258025496,train
2780778781999110,1506m072-6,1506m072,6,289294,632,0,0,0,150.687012679865,-7.191932881021074,train
2780779146903566,1725m072-14,1725m072,14,289381,632,0,0,0,172.6495237201531,-7.136098725756084,train
2780784968597519,1620m070-15,1620m070,15,290769,632,0,0,0,162.0417464397188,-6.891043458200873,val
2780785056677897,1672m070-9,1672m070,9,290790,632,0,0,0,167.3207223268653,-7.04465110786478,train
2780785408999434,1884m070-10,1884m070,10,290874,632,0,0,0,188.4003703082441,-7.080891236796302,val
2780785534828558,1959m070-14,1959m070,14,290904,632,0,0,0,195.9919263316557,-7.027436633154671,train
2780790488301596,1331m067-28,1331m067,28,292085,632,0,0,0,133.1684778631079,-6.731937502609311,train
2780790786097153,1509m067-1,1509m067,1,292156,632,0,0,0,150.8723545093477,-6.709161916029142,train
2780791473963019,1921m067-11,1921m067,11,292320,632,0,0,0,192.1140096061454,-6.694156147893938,train
2780791515906055,1947m067-7,1947m067,7,292330,632,0,0,0,194.7271288833576,-6.733411334817094,train
2780791515906056,1947m067-8,1947m067,8,292330,632,0,0,0,194.7307657361586,-6.853403683817683,train
2780791708844047,2062m067-15,2062m067,15,292376,632,0,0,0,206.2694123451838,-6.760619805074226,train
2780795173339143,0539m065-7,0539m065,7,293202,632,0,0,0,53.97355477070255,-6.485376566910752,train
2780795374665733,0659m065-5,0659m065,5,293250,632,0,0,0,65.99054687183204,-6.385081762275615,train
2780796750397447,1484m065-7,1484m065,7,293578,632,0,0,0,148.3841893080653,-6.408313330012788,train
2780796783951876,1504m065-4,1504m065,4,293586,632,0,0,0,150.4408378290767,-6.619658612437822,train
2780797438263304,1896m065-8,1896m065,8,293742,632,0,0,0,189.6626374990709,-6.561413626181462,train
2780797798973454,2112m065-14,2112m065,14,293828,632,0,0,0,211.3180218568864,-6.427161804009596,train
2780801234108422,0571m062-6,0571m062,6,294647,632,0,0,0,57.21441684206425,-6.129604188316789,train
