source_row,targetid,split
30335,234520892669963,test
21856,2323696089825280,test
1166,2389447454752769,test
639,2780687786573828,test
4979,2780802660171783,test
4316,2780809119399941,test
1048,2780825321996294,test
1059,2780831353405442,test
4179,2780851142131732,test
2949,2780851578339341,test
4464,2780857370673161,test
1948,2780870071025668,test
1108,2780873434857473,test
1507,2780899741532163,test
3054,2780906024599571,test
3055,2780906028793864,test
1232,2780909619118086,test
4262,2780911439446028,test
2002,2780918397796358,test
1243,2780939822301191,test
4460,2780941814595591,test
3100,2780948395458567,test
5238,2780959401312257,test
3167,2780960391168008,test
2501,2780996797726726,test
2479,2780996835475459,test
5519,2781128612118534,test
2773,2781141404745738,test
5376,2781164255313923,test
3996,2781165115146255,test
3993,2781171138166795,test
6358,2781182148214785,test
6969,2781566094802957,test
6898,2781811797131267,test
1367,2785183203852288,test
23950,2789543308689409,test
26146,2789995907645442,test
8268,2842266511081477,test
19203,2842399449546753,test
10737,2842399961251840,test
14708,2842442340499456,test
18901,2842611085737990,test
21544,2842629377097732,test
29707,2842654127685634,test
21890,2842701636567045,test
14849,2846912885555201,test
12398,2851244943081473,test
9219,2851260524920832,test
20003,2851346382323712,test
20118,2851358411587584,test
27825,2851846561464321,test
30003,39627217143079414,test
29997,39627228220237740,test
29850,39627306620163234,test
22862,39627334596172995,test
22863,39627334600364803,test
23250,39627339960680656,test
22861,39627340321393834,test
22767,39627346147287095,test
22723,39627346231170060,test
22735,39627346247945858,test
23456,39627351662796319,test
22876,39627351792821815,test
23285,39627357174110334,test
22771,39627357635478144,test
5898,39627363016770222,test
23318,39627363029359565,test
22975,39627363377485106,test
22794,39627369220149046,test
22798,39627369245317484,test
22841,39627374953766708,test
548,39627375067009213,test
5900,39627380356026012,test
23239,39627380448302327,test
22831,39627380762874665,test
22816,39627380775460123,test
22810,39627380783848865,test
22807,39627380796431674,test
23471,39627386274186343,test
5831,39627386492289378,test
22980,39627386492289378,test
8024,39627386592954122,test
7993,39627386609735671,test
22994,39627392293018856,test
22850,39627392330770609,test
22821,39627392360127594,test
7998,39627392397871300,test
23349,39627397674306171,test
5905,39627397682699879,test
23336,39627397712056527,test
23490,39627397833693851,test
22925,39627397980493598,test
22852,39627398135681562,test
22851,39627398139876376,test
7997,39627398198595594,test
23491,39627403646999004,test
22953,39627403756045596,test
23085,39627403789604990,test
8026,39627403990928411,test
5909,39627409334471559,test
22956,39627409565159826,test
22961,39627409573547554,test
22951,39627409581935496,test
23000,39627409728737589,test
23083,39627415453963183,test
23076,39627415458156707,test
23094,39627415466546869,test
5848,39627415500100668,test
8035,39627415638508711,test
23385,39627420940114800,test
23557,39627421086910726,test
23551,39627421103690426,test
22968,39627421229518729,test
8077,39627421443428385,test
